25/12/2017 18:44:54 下午	[Trace]	#### Server boot ####
25/12/2017 18:44:55 下午	[Log]	Server mounted, listening on port 4296
25/12/2017 18:44:55 下午	[Trace]	Found plugin: F:\LaiProj\DPhysics\LockstepServer\Plugins\DPhysics.Lockstep.dll, type of DPhysics.Lockstep.Core
25/12/2017 18:44:55 下午	[Trace]	Found a total of 1 plugins.
25/12/2017 18:44:55 下午	[Log]	Loaded plugin: DPhysics Lockstep Server Version: 1.0
25/12/2017 18:45:07 下午	[Log]	Connected: 127.0.0.1:2573
25/12/2017 18:45:13 下午	[Log]	Data Received
25/12/2017 18:45:13 下午	[Log]	Data Roomed
25/12/2017 18:45:14 下午	[Log]	Data Received
25/12/2017 18:45:14 下午	[Log]	Data Roomed
25/12/2017 18:45:16 下午	[Log]	Data Received
25/12/2017 18:45:16 下午	[Log]	Data Roomed
25/12/2017 18:45:17 下午	[Log]	Data Received
25/12/2017 18:45:17 下午	[Log]	Data Roomed
25/12/2017 18:45:19 下午	[Log]	Data Received
25/12/2017 18:45:19 下午	[Log]	Data Roomed
25/12/2017 18:45:20 下午	[Log]	Data Received
25/12/2017 18:45:20 下午	[Log]	Data Roomed
25/12/2017 18:45:21 下午	[Log]	Data Received
25/12/2017 18:45:21 下午	[Log]	Data Roomed
25/12/2017 18:45:22 下午	[Log]	Data Received
25/12/2017 18:45:22 下午	[Log]	Data Roomed
25/12/2017 18:45:22 下午	[Log]	Data Received
25/12/2017 18:45:22 下午	[Log]	Data Roomed
25/12/2017 18:45:22 下午	[Log]	Data Received
25/12/2017 18:45:22 下午	[Log]	Data Roomed
25/12/2017 18:45:23 下午	[Log]	Data Received
25/12/2017 18:45:23 下午	[Log]	Data Roomed
25/12/2017 18:45:23 下午	[Log]	Data Received
25/12/2017 18:45:23 下午	[Log]	Data Roomed
25/12/2017 18:45:24 下午	[Log]	Data Received
25/12/2017 18:45:24 下午	[Log]	Data Roomed
25/12/2017 18:45:25 下午	[Log]	Data Received
25/12/2017 18:45:25 下午	[Log]	Data Roomed
25/12/2017 18:45:25 下午	[Log]	Data Received
25/12/2017 18:45:25 下午	[Log]	Data Roomed
25/12/2017 18:45:25 下午	[Log]	Data Received
25/12/2017 18:45:25 下午	[Log]	Data Roomed
25/12/2017 18:45:27 下午	[Log]	Data Received
25/12/2017 18:45:27 下午	[Log]	Data Roomed
25/12/2017 18:45:28 下午	[Log]	Data Received
25/12/2017 18:45:28 下午	[Log]	Data Roomed
25/12/2017 18:45:28 下午	[Log]	Data Received
25/12/2017 18:45:28 下午	[Log]	Data Roomed
25/12/2017 18:45:28 下午	[Log]	Data Received
25/12/2017 18:45:28 下午	[Log]	Data Roomed
25/12/2017 18:45:28 下午	[Log]	Data Received
25/12/2017 18:45:28 下午	[Log]	Data Roomed
25/12/2017 18:45:29 下午	[Log]	Data Received
25/12/2017 18:45:29 下午	[Log]	Data Roomed
25/12/2017 18:45:29 下午	[Log]	Data Received
25/12/2017 18:45:29 下午	[Log]	Data Roomed
25/12/2017 18:45:29 下午	[Log]	Data Received
25/12/2017 18:45:29 下午	[Log]	Data Roomed
25/12/2017 18:45:29 下午	[Log]	Data Received
25/12/2017 18:45:29 下午	[Log]	Data Roomed
25/12/2017 18:45:30 下午	[Log]	Data Received
25/12/2017 18:45:30 下午	[Log]	Data Roomed
25/12/2017 18:45:30 下午	[Log]	Data Received
25/12/2017 18:45:30 下午	[Log]	Data Roomed
25/12/2017 18:45:30 下午	[Log]	Data Received
25/12/2017 18:45:30 下午	[Log]	Data Roomed
25/12/2017 18:45:30 下午	[Log]	Data Received
25/12/2017 18:45:30 下午	[Log]	Data Roomed
25/12/2017 18:45:30 下午	[Log]	Data Received
25/12/2017 18:45:30 下午	[Log]	Data Roomed
25/12/2017 18:45:31 下午	[Log]	Data Received
25/12/2017 18:45:31 下午	[Log]	Data Roomed
25/12/2017 18:45:32 下午	[Log]	Data Received
25/12/2017 18:45:32 下午	[Log]	Data Roomed
25/12/2017 18:45:32 下午	[Log]	Data Received
25/12/2017 18:45:32 下午	[Log]	Data Roomed
25/12/2017 18:45:32 下午	[Log]	Data Received
25/12/2017 18:45:32 下午	[Log]	Data Roomed
25/12/2017 18:45:32 下午	[Log]	Data Received
25/12/2017 18:45:32 下午	[Log]	Data Roomed
25/12/2017 18:45:33 下午	[Log]	Data Received
25/12/2017 18:45:33 下午	[Log]	Data Roomed
25/12/2017 18:45:44 下午	[Log]	Data Received
25/12/2017 18:45:44 下午	[Log]	Data Roomed
25/12/2017 18:45:44 下午	[Log]	Data Received
25/12/2017 18:45:44 下午	[Log]	Data Roomed
25/12/2017 18:45:45 下午	[Log]	Data Received
25/12/2017 18:45:45 下午	[Log]	Data Roomed
25/12/2017 18:45:46 下午	[Log]	Data Received
25/12/2017 18:45:46 下午	[Log]	Data Roomed
